公司名稱,公司產品,職稱,公司所在縣市
"friDay購物_遠時數位科技股份有限公司
                    ","公司使命: 讓消費者更省錢，讓供應商更賺錢，讓員⼯更有價值
十個價值原則:
成事：只做事沒價值，完成對的事情才有價值
時效：讓更對的事儘快發⽣，解除使⽤者的委屈 
革舊：過去的都可被改善，墨守成規容易被淘汰 
承擔：當責越重價值越⾼，迴避只會稀釋⾃⼰ 
樂觀：每個現在都是原點，未來只會更好 
獎懲：成功要獎勵，失敗要⿎勵，怠慢要嚴厲 
真實：溝通要有具體場景對應，虛詞引導誤判 
助人：⾏有餘⼒，樂於助⼈，形成集體智慧 
無畏：挑戰⾼標，多做多對取代少做少錯 
尊客：同⼼客⼈的不便，設計體貼的流程與回應

四個您應該加入我們的理由 : 
 
1.團隊炫酷：
我們的成員年輕有熱情有抱負，每一時刻都有新奇的事物在發生。我們共同打造出一個生動有趣，充滿遠傳friDay購物團隊精神的工作環境！

2.合作文化：
我們相信一個偉大的團隊背後，需要各種意見和想法。團隊成員互相討論來激盪出不一樣的火花，以行銷及商品團隊的策略以及IT後端的搭配，創造令人驚艷的遠傳friDay購物 !

3.決策透明 : 
每位成員都能提出意見公開討論，並且成為參與決策的一份子。攜手為公司創造出美好的現在及未來！

4.自我成長： 
我們鼓勵每個人提出自己的想法、發起自己喜愛的專案，並從中培養專長， 持續學習、持續進步!

我們的團隊正在快速轉型階段，擁有能展現自我的最佳舞台，尋找對電商產業有興趣、具有大膽想法、高執行力想一展長才優秀的你!
歡迎加入遠傳friDay 購物團隊與我們一起努力，創造未來更多可能!","182    遠傳friDay購物 -Infra工程師
Name: job_name, dtype: object","182    台北市
Name: company_addr, dtype: object"
"三弦科技有限公司
                    ","軟體開發：包括定制軟體開發、Web開發、行動應用程式開發等。
軟體測試：提供軟體品質保證服務，確保軟體在各種環境下都能正常運作。
軟體維護：包括修復軟體錯誤、更新軟體版本、優化軟體性能等。
資料庫開發：專門為企業或組織設計和開發資料庫。
系統集成：協助企業將現有的軟體和硬體整合在一起，以提高效率和效能。
技術支援：為企業提供IT技術支援，包括軟體安裝、網路配置、數據恢復等。
安全性和隱私：協助企業確保其軟體和數據的安全性和隱私，包括網路安全、資料加密和安全漏洞修復。
硬體客製：依客戶需求提供硬體配置等。","0         python工程師
52          W.網頁工程師
220    P1.python工程師
273    P0.python工程師
Name: job_name, dtype: object","0      新北市
52     新北市
220    新北市
273    新北市
Name: company_addr, dtype: object"
"中華資安國際股份有限公司
                    ","        中華資安國際為中華電信子公司，提供各類專業資安服務。主要的服務對象，包括與中華電信合作提供中華電信網路客戶資安防護、政府機關、公民營事業、大型企業、金融業及中小企業等客戶。
        本公司具備堅強資安團隊，以打造安全、可信任的資通訊環境，成為數位經濟與創新產業的資訊安全守護者，目標是成為國內資安第一領導品牌，帶動國內資安產業發展，邁向國際級資安公司。","7                             MIS系統工程師
91     軟體研發工程師 (Backend Engineer, PHP)
158                         紅隊研究暨研發工程師
177                          機器學習研發工程師
224                         SDN網路系統工程師
244                        資安檢測工程師（紅隊）
417                          軟體系統研發工程師
420                           資安檢測技術PM
Name: job_name, dtype: object","7      台北市
91     台北市
158    台北市
177    台北市
224    台北市
244    台北市
417    台北市
420    台北市
Name: company_addr, dtype: object"
"中華開發金融控股股份有限公司(凱基證券)(凱基銀行)(中華開發資本)
                    ",開發金控提供直接投資、企業金融、金融市場、證券、壽險等全方位的整合性金融服務，其中尤以直接投資業務穩居臺灣市場龍頭，擁有30%的市場佔有率，與臺灣其他以消費金融或保險業務為主的金控相比，具有相當之獨特性。,"29                   【凱基銀行/風險管理處】市場風險管理專員
40               【凱基銀行/貸款事業部】貸款產品企劃專員(PM)
122                   【凱基銀行/智慧轉型處】資深商業分析師
313    【凱基銀行/智慧轉型處】大數據資料分析師(Data Analyst)
324                【凱基銀行/風險管理處】個金信用風險管理專員
387                  【凱基銀行/風險管理處】信用風險管理專員
397                    【凱基證券/衍生性商品部】權證交易員
412                 【凱基證券/電子商務事業部】客群數據分析師
Name: job_name, dtype: object","29     台北市
40     台北市
122    台北市
313    台北市
324    台北市
387    台北市
397    台北市
412    台北市
Name: company_addr, dtype: object"
"中雍科技股份有限公司
                    ","我們專注於未來。致力於把智慧生活完美的實踐。
我們專注於現在。致力於讓智能生活所有的不可能變成可能。

一間好的新創公司，能提供員工最自由的舞台發展，
給予員工一個共同拼搏的夢想，如果你與我們有共同的目標，熱血，歡迎你加入我們。
我們誠摯的歡迎您！
","104    RD: 嵌入式韌體/雲端軟體/測試工程師
Name: job_name, dtype: object","104    新竹縣
Name: company_addr, dtype: object"
"亞新工程顧問股份有限公司
                    ","ASSET
先進的技術(A)                Advanced Technology
計畫的安全(S)     Project Safety
業主的滿意(S)     Client's Satisfaction          
經濟的方案(E)                Economical Solution
準時的達成(T)                Timely Completion","304    大地空間資訊工程師
Name: job_name, dtype: object","304    新北市
Name: company_addr, dtype: object"
"亞泰半導體設備股份有限公司
                    ","•	傾聽客戶的客製化 & 專業研發團隊
亞泰半導體設備擁有近百件跨國專利，以發明專利為主要，智權範圍囊括台灣、中國、美國、日本、韓國、新加坡等國家。以多元的專業技術，傾聽客戶聲音的客製化服務，成就每一次更加優化的系統服務。
•	懂你所累積的豐富實績 & 專案管理
亞泰半導體設備具備良好且可幸賴的專案管理經驗。透過完整的管理系統，使產品從設計、製造，皆有高度的品質保證；並由專業團隊負責機台生產、電控設計與客戶現場的安裝試車，確保產品的高可靠性和客戶的滿意度。
•	成就需求有效率的售後服務
亞泰半導體的產品，遵循最適化設計和製造。我們提供經驗豐富的技術團隊，四小時內支援現場服務，並時時改進並更新我們的系統，以滿足客戶的需求。
","18                 電控軟體主管
193           資深電控工程師(軟體)
311    電控工程師(擴大徵才 , 無經驗可)
385         資深電控工程師(擴大徵才)
386             電控工程師(軟體)
Name: job_name, dtype: object","18     新竹縣
193    新竹縣
311    新竹縣
385    新竹縣
386    新竹縣
Name: company_addr, dtype: object"
"仁寶電腦工業股份有限公司
                    ","1.	筆記型電腦、IPC、AIO PC
2.	車用電子產品
3.	Server
4.	物聯網IOT產品
5.	智慧型裝置（手機、平板）
6.	穿戴裝置（智慧手錶、AR/VR）
7.	視訊產品
8.	智慧醫療
9.	5G應用產品
","188    SR0157 智慧型裝置事業群-SAAS創新軟體主管(軟體理級人才)
Name: job_name, dtype: object","188    台北市
Name: company_addr, dtype: object"
"傑利斯財金科技有限公司
                    ",,"209     業務助理
214    軟體工程師
Name: job_name, dtype: object","209    新北市
214    新北市
Name: company_addr, dtype: object"
"優比快股份有限公司
                    ","Our mission is to rethink IT — not just by making powerful networking technology more accessible, but by delivering frictionless product experiences tailored to our users. This pursuit begins at our R&D Center in Taiwan, where we not only build innovative products, but a culture of trust, transparency, and collaboration. 
Explore more: https://careers.ui.com
","163                F0063 - MCU Firmware Engineer
251            F0031 - Software Engineer in Test
286                     F0103 - Data QA Engineer
307    F0105 - Computer Vision Software Engineer
424               F0102 - Senior AI NLP Engineer
Name: job_name, dtype: object","163    台北市
251    台北市
286    台北市
307    台北市
424    台北市
Name: company_addr, dtype: object"
"元佑實業股份有限公司
                    ","作為各種專業設備的總代理，
At the heart of our service 是我們對自我的期許；
專業、誠信與價值創造 是我們不變的信仰。
我們深信，透過專業諮詢、售後服務、教育訓練與產學合作，
能夠讓品牌及客戶創造更高的價值。","27    自動化軟體工程師
Name: job_name, dtype: object","27    台北市
Name: company_addr, dtype: object"
"全家便利商店股份有限公司
                    ","以「顧客滿意 共同成長」為本 在地深耕
1988年，全家便利商店在台灣設立第一家店舖，秉持「顧客滿意，共同成長」的理念經營事業，至今已超過 33 年。一路走來，有賴全體員工與加盟者的努力，更感謝顧客、供應商的支持，「全家」深耕社區、穩健前進。
面對變動越來越快速的環境，如高齡社會、少子化等趨勢，不僅產生未來缺工的挑戰，也改變了消費者對便利商店的需求。此外，新科技不斷推陳出新，covid-19帶來的疫後新常態，更重塑台灣社會的生活樣態及消費習慣。

全家以顧客為先 為顧客走創新的路
因應環境的變動、科技的進步，「全家」不墨守成規，隨時調整腳步往前進，為滿足顧客的需求勇於創新，不僅突破既有的流程習慣，更建立數據驅動的企業文化，用數據溝通、用數據說話、用數據下決策。同時，對應顧客懶快、追求便利的購物需求，「全家」更打破過去以實體店為主的思考模式，積極經營線上與線下各種的消費渠道，且不斷優化顧客體驗。

全家一心 打造「無所不在的跨產業便利生活服務平台」
展望未來，「全家」期許自己站在顧客的角度，跨越職位、部門、總部與店舖的界線，從合作到共創，以更敏捷的工作模式，共同思考、互相對話，攜手主動為顧客探索最佳體驗之道，朝同一個目標邁進：「以顧客為核心，打造全家成為無所不在的跨產業便利生活服務平台」，讓「全家」成為顧客生活中、這塊土地上的最佳夥伴！","82     網路安全工程師
301    資訊安全工程師
Name: job_name, dtype: object","82     台北市
301    台北市
Name: company_addr, dtype: object"
"全盈支付金融科技股份有限公司
                    ","我們矢志成為台灣首屈一指之電子支付業者，有信心將為大眾帶來更多更美好且更方便之支付體驗。歡迎有願景、具創新DNA、及熱愛接受挑戰的你，一同加入我們的行列！

加入全盈，你將具有遼闊的職涯遠景，且更能彩繪自己的人生！


","308    數據分析師
Name: job_name, dtype: object","308    台北市
Name: company_addr, dtype: object"
"公隆化學股份有限公司
                    ","【誠信、創新、速度】
誠信─誠意、用心、說的到作的到
創新─改變、學習、創造客戶需求
速度─超越、即時、永遠比對手快

節能減碳、綠色經營是世界的趨勢，也是企業應盡的社會責任，公隆化學在這方面的腳步也不落人後，積極朝向環保工藝、清潔生產、水處理、抗菌等新興應用產業發展。","72    【資訊中心】數位專案經理 (數據科技)
Name: job_name, dtype: object","72    台北市
Name: company_addr, dtype: object"
"凱擘股份有限公司
                    ","※ 企業使命
　　•服務用戶享有更經濟、有效方式迎接數位匯流時代、盡享先進技術之便利 
　　•持續創新，提昇品質，打造客戶滿意之數位寬頻生活 
　　•縮小數位落差，響應公益活動，減少城鄉建設之差異 
　　•維護投資人權益，注重員工成長之企業 

※ 企業理念 - 多元整合服務，提昇數位媒體新價值
　　•kbro的策略定位-有線電視、寬頻網路及媒體之整合應用業者
　　•kbro之經營，乃架構於雙向HFC寬頻網路基礎，整合頻道內容資源及寬帶上網等加值服務，期望成為
　　  國人數位寬頻服務之平台。

※ kbro的核心競爭力
　　•凱擘擁有750 MHz雙向寬頻HFC網路及全省12家系統台之通路、110萬收視戶的規模經濟效益、製作
　　  國內優質頻道節目的能力、代理發行資源、專業經營團隊…等等諸多優勢，構建未來邁向全球化經營
　　  之核心競爭力。 

※ 企業願景 - 成為各經營服務區域內消費者心目中最佳多媒體服務平台
   　•凱擘股份有限公司旗下目前包括有12有線電視系統台，擁有廣大的收視戶，為台灣名列前矛之有線電視多系統經營者(MSO)。未來將透過策略性與同業合作及組織擴充，深耕台灣有線電視及寬頻網路市場。
　　•為配合政府『挑戰2008--六年國發計劃』數位台灣政策，凱擘率先投入數位計劃，引領台灣媒體事業， 矢志實現台灣『600萬戶寬頻到家』夢想，合力打造國家基礎建設，建構台灣第一條民間資訊高速公路，以引領台灣有線電視產業邁向全球數位化經營。","32     [ 幸福企業招募] 網頁全端工程師 (Web full-stack engineer)
215                   [ 幸福企業招募] 軟體開發 & SA 工程師 (內湖)
Name: job_name, dtype: object","32     台北市
215    台北市
Name: company_addr, dtype: object"
"凱曜網路股份有限公司
                    ","長期耕耘品牌數位與社群整體服務，用第一線的社群口碑觀察與思維，串連最新技術與服務模式，打造浪頭上的數位行銷策略；在更迭不斷的數位浪潮中，與客戶一同挑戰與突破。

『沒有困難，只有挑戰』本公司竭誠的歡迎有理想、有實力及充滿熱情的朋友，加入我們的的團隊，和我們一起成長

不同於於印象中廣告行銷業日夜顛倒長工時印象，我們更重視責任與效率，希望你保持負責認的心態，自我要求是最重要的，和我們一起成長，即使在現實考量的背後，你應該要更有創意，千萬不要忘記學習是一輩子的

選用綠色系與電池的形象圖示，代表永續與能源的傳承，為每一個夥伴互相灌注能量，感染身邊的每一個朋友們！","317    數據分析管理師
Name: job_name, dtype: object","317    台北市
Name: company_addr, dtype: object"
"創世代有限公司
                    ","公司理念
Oiyster 團隊堅信世上沒有辦不到的事，要成功就得付出多過 100%，決定走的路就得破釜沉舟！

創辦故事
Oiyster 團隊堅信在不久的將來元宇宙必然是趨勢，也會是未來。我們從現在開始即將展開我們這一趟大膽創新的奇幻旅程。

我們邁向元宇宙的第一步就此展開。。。

NFT代號：覺醒者/The Awakened Ones

覺醒時刻即將來臨，如果你也想獲得覺醒，元宇宙的歧異點將從這裡開始….

這只是一個開端，一個通往真理，通往我們覺醒的奇幻旅程。
這趟覺醒之旅準備啟程，我們將走入一條筆直的道路，但不侷限於任何形式，只有一群正在甦醒並集結的意識形態，準備展開新的覺醒旅程。

走出自己，歡迎加入我們，成為覺醒者的一員。

This is only just the beginning, the initiation of a journey, a journey of the awakening, the key to the very truth, to the land of the awakened
We have no roadmap, only the path towards awakening..
Join us if you want to be a part of “The Awakened Ones”","183    NFT/智能合約後端工程師(Dapp) / NFT/Smart contract Backe...
Name: job_name, dtype: object","183    台北市
Name: company_addr, dtype: object"
"創客應用技術有限公司
                    ","IADIY 事業願景:
IADIY 的目標以光電整合技術為核心提供技術解決方案及產品開發資源到生產服務，協助客戶創新技術，成功開發產品，加速市場推廣及事業成長。
我們的宗旨及優勢:
專業多樣的光電技術及資源，從設計到生產的整合應用能力
累積20年以上的光電產品及系統應用開發經驗，從了解客戶需求貼近市場用到設計開發，以可實現的最佳技術方案及生產成本，整合光電技術不同的工程及資源到生產製造，屢屢實現新的驚奇及價值獲得眾多客戶的肯定。 ","223    軟體工程師
Name: job_name, dtype: object","223    台北市
Name: company_addr, dtype: object"
"功典資訊股份有限公司
                    ","▍三個特質：賦予數據意義
我們相信軟體服務的「智慧分析」賦予數據真實，其中三個特質編織在產品與服務裡：整合、解析洞察與數據變現；從數據蒐集、洞察擬定策略到執行，我們期待為品牌、顧客創造無與倫比的體驗。

▍專注傾聽、敏捷分析
沒有完全相同的情境，我們優先聆聽需求與問題，以深厚專業保持開放與彈性，為你提出最適合的規劃與執行方案，讓數位轉型、行銷策略與應用、會員忠誠計畫、經營指標制定、會員經營變現不再停在紙上。

▍腳踏實地，但也是夢想家
無數次與國際大型企業合作，我們務實解決問題、關注成效與使用體驗，同時在策略擬定大膽發夢。如果你來到這裡，可以看見坦率透明的團隊協作，對問題勇往直前的挑戰精神，感受擁有新創靈魂的深厚底蘊企業氛圍！","326    C# 軟體工程師(資深)
Name: job_name, dtype: object","326    新北市
Name: company_addr, dtype: object"
"台灣世曦工程顧問股份有限公司
                    ",透過技術、經驗、操守及傳承使命的結合，台灣世曦工程顧問股份有限公司時時以改善人類生活環境為志業，努力建立「人與環境對應」的有機團隊，在面對工程計畫執行任務時，無論就新技術的引入或研發，專案經驗的累積與傳承，從業人員的操守與紀律皆以此中心理念為前程。,"228    空間資訊工程師(專案管理)-B100006347
282         GIS程式設計師-B100006347
314            交通工程師-B100002901
Name: job_name, dtype: object","228    台北市
282    台北市
314    台北市
Name: company_addr, dtype: object"
"台灣樂天市場股份有限公司
                    ","1.時時改善，日日精進
2.貫徹專業精神
3.假設→執行→驗證→制度化
4.追求最高的顧客滿意度
5.Speed!!Speed!!Speed!!
","348    【日商樂天】Penetration Tester (DU)
373        【日商樂天】雲端平台/DevOps工程師 (DU)
Name: job_name, dtype: object","348    台北市
373    台北市
Name: company_addr, dtype: object"
"台灣特納飛科技有限公司
                    ","1. Innovation: 創新是新創公司最大的優勢。
2. Quality: 注重品質，力求滿足客戶的需求。
3. Service: 以客為尊，全力超越客戶的期待。","8      Digital IC Verification (高級/資深工程師/經理)
14                  SSD 韌體自動化系統驗證 (資深工程師/經理)
267              SSD/UFS 驗證工程師 (高級/資深工程師/經理)
425                 SSD 韌體自動化系統驗證 (資深工程師/經理)
Name: job_name, dtype: object","8      新竹縣
14     新竹縣
267    新竹縣
425    新竹縣
Name: company_addr, dtype: object"
"台灣瑞薩電子股份有限公司
                    ","企業理念:
瑞薩電子以創造人們所嚮往的未來為目標，貫注專業技術研發嶄新科技，為人類與地球的繁榮盡一份心力。

企業願景:
我們將以創造力與技術革新即時回應全球客戶的需求，以成為值得信賴且持續成長的頂尖半導體製造商。
","200     Test Development Engineer (Dialog Semiconductor)
288                 Test Engineer (Dialog Semiconductor)
392    Principal Digital Verification Engineer (Dialo...
Name: job_name, dtype: object","200    新竹縣
288    新竹縣
392    新竹縣
Name: company_addr, dtype: object"
"台灣經濟新報文化事業股份有限公司
                    ","

▋ TEJ - 解決方案  ▋   https://www.tej.com.tw/solution

§   ◤ESG永續◢  §  ◤ 信用風險 ◢  §  ◤ 法遵科技 ◢  §

§  ◤企業商情◢  §   ◤ 投資分析 ◢  §  ◤ 評價分析 ◢  §


▋ TEJ - 資料銀行  ▋   https://www.tej.com.tw/dataBank

◤ 企業營運資訊 ◢
　∴ 公司基本資料及重大訊息
　∴ 董監事大股東、股本變動及股利政策
　∴ 企業投資資訊、月營收及產銷組合
◤ 企業財務資訊 ◢
　∴  IFRS財務報表 - TEJ獨家！
◤ 證券金融市場資訊 ◢
　∴ 股票市場
　∴ 基金市場
　∴ 債券市場
　∴ 衍生性金融商品債券市場
◤ 總經及商品原物料 ◢
　∴ 總經及商品原物料


---------------------------------------------------------------

▋ TEJ - 金融資料分析、金融新知、財金研究院、知識集    ▋

▲   Medium  ▲ Facebook  ▲Instagram ▲ Linkedin  ▲ Youtube ▲ 

- TEJ Linktree -  https://linktr.ee/tej87681088

","3      財務資料庫_管理師
349    量化分析_副研究員
Name: job_name, dtype: object","3      台北市
349    台北市
Name: company_addr, dtype: object"
